0Invert X|反转X轴
I will accept your gift...|我会接受你的礼物……
Complete the Dragon Slayer passage|完成屠龙者通行证
Something lurks in the darkness...|有什么隐匿在黑暗之中……
Complete the game as The Artificer|以工匠身份完成游戏
Five Pebbles (General Systems Bus)|五块卵石（通用系统总线）
Pick up / Eat button interactions:|“拾取/进食”按键操作：
Game Over - Press SPACE to restart|游戏结束 - 按“空格键”重新开始
switch_controls_singlejoyconl_jump|下方向键
switch_controls_singlejoyconr_jump|A键
JUMP/THROW buttons - Switch layers|跳跃/投掷按键 - 切换层级
ps4_save_options_failed_free_space|保存选项数据时发生错误。空间不足。要再次尝试吗？
ConfigContainer_AlertPasteCosmetic|已从剪贴板粘贴<Text>
MenuModList_ModButton_Enable_Mouse|启用<Mod>
Stronger bottomless pit indicators|强化无底洞提示
Monk-style gates for all campaigns|全剧情应用僧侣式业力门
Are you sure you want to continue?|你确定要继续吗？
That's all. You'll have to go now.|到此为止。你该走了。
You again? I have nothing for you.|又是你？我没什么能给你的了。
I wonder what it is that you want?|我在想你究竟想要什么？
I wish you would stop coming here.|我希望你别来这里了。
Oh... Of course I will take a look|噢……当然没问题，我看看。
Something lurks amongst the clouds...|有什么隐匿在云朵之中……
Take the longer path to enlightenment|踏上更漫长的启蒙之路
A significant gain, but at what cost?|所获丰盛可口，罔顾代价为何
Game Over - Press + Button to restart|游戏结束 - 按“+”重新开始
Game Over - Press - Button to restart|游戏结束 - 按“-”重新开始
switch_controls_singlejoycon_hold_map|按住SR键
Hold and drag to adjust score awarded|按住并拖动以调整得分奖励
JUMP/THROW buttons - Switch layers_2a|交叉键/圆圈键 - 切换层级<LINE>正方键 - 选择庇护所
JUMP/THROW buttons - Switch layers_3a|B键/A键 - 切换层级<LINE>Y键 - 选择庇护所
JUMP/THROW buttons - Switch layers_4a|下方向键/右方向键键 - 切换层级<LINE>左方向键 - 选择庇护所
JUMP/THROW buttons - Switch layers_5a|A键/X键 - 切换层级<LINE>B键 - 选择庇护所
ConfigContainer_AlertPasteNoncosmetic|已从剪贴板将<Text>粘贴至<ObjectName>
MenuModList_ModButton_Enable_NonMouse|按确认键启用该模组，长按确认键并使用摇杆切换加载顺序
Press CONTINUE to view and accept it.|按“继续”查看并接受。
Thank you. I do wonder what you want.|谢谢你。我很好奇你想要什么。
Another thing you want me to look at?|你又有想让我看看的东西吗？
Would you like me to read this pearl?|你想让我读这颗珍珠吗？
And now you're taking it, apparently.|显然你又要拿走它了。
Something lurks at the highest reaches of the world...|有什么隐匿在世界的巅峰上……
Assign player <X> to the default XBox controller setup|为玩家<X>分配至默认XBox控制
Select which levels to play<LINE>in the level selector|选择要在关卡选择器<LINE>中游玩的关卡
Shows a visual pulse on screen when threats are nearby|附近存在威胁时屏幕出现视觉信号
All lizard breeds have unique sound effects and voices|所有蜥蜴种类都有独特的音效和声音
(Normally requires completing Gourmand's food tracker)|（通常需要完成饕餮的食物图鉴）
Mod's thumbnail image should have a 16:9 aspect ratio.|模组的缩略图应具有16:9的纵横比。
If you eat it or leave with it, I will die. I beg you.|如果你吃了它或带走它，我会死的。求求你。
Oh, I have already read this one to you, <PlayerName>.|哦，这颗珍珠我已经为你读过了，<PlayerName>。
Something lurks where the land fissures...|有什么隐匿在大地的裂隙中……
This place is safe. Stay here to hibernate|这里很安全。在这里雨眠吧
There are also other significant drawbacks|还有其他一些重大不利因素
When only one player left, rain approaches|只剩一名玩家时，雨就会来临
I... won't speak to you... if you do that.|你要是那么做了……我……就不会再和你说话了。
Ah... <PlayerName>, a neuron from Pebbles?|啊……<PlayerName>，五块卵石那里的神经元？
Take what isn't yours|带走不属于你的事物
Generating map images|正在生成地图图片
objecttype-SporePlant|蜂巢
objecttype-NSHSwarmer|绿色神经元
creaturetype-SeaLeech|海水蛭
creaturetype-TubeWorm|管虫
creaturetype-Overseer|监视者
Path of the carnivore|弱肉强食之道
The Hunter-linebreaks|猎手
The Outlaw-linebreaks|暴徒
The Friend-linebreaks|朋友
Sound effects volume:|音效音量：
XBox Controller Setup|XBox控制器设置
switch_controls_pause|+键
switch_controls_throw|A键
Add level to playlist|将关卡添加至游玩列表
switch_update_players|更新玩家
Play each level twice|每个关卡游玩两次
mod_menu_reapply_mods|自上次游戏启动以来，一些启用的模组已更新。按下继续以应用更新。
OpUpdown_NonMouseGrab|按确认键交互
OpScrollBox_MouseTuto|使用滚轮查看更多
ModdingMenu_PckpTuto0|剪贴板按键互动：
ModdingMenu_PckpTuto1|请先用确认键选择一个可配置的元素
ModdingMenu_PckpTuto2|长按剪贴板按键并按确认键复制到剪贴板
ModdingMenu_PckpTuto3|长按剪贴板按键并按取消键粘贴到剪贴板
MenuModList_DummyDesc|基础版雨世界
OIError_GeneralAdvice|此问题可以通过下载最新版本的模组来解决。
No swim boost penalty|无游泳加速惩罚
Rain Timer Multiplier|雨时计倍率
Tweaked deer behavior|雨鹿行为调整
Alternate grenade arc|额外手雷抛物线
Item stems in sandbox|沙盒模式物品茎干
Reduce screen shaking|减少屏幕抖动
Unlock all challenges|解锁全部挑战
Gathering information|收集信息
jollycoop-description|最多4名玩家的本地合作剧情和其他游戏模式。有朋友的旅程会更加美好！
You had your chances.|我给过你机会的。
Oh, you want it back?|噢，你想拿回它？
Follow the guide|跟随指引
objecttype-Spear|长矛
creaturetype-Fly|蝠蝇
Select save slot|选择存档位
Movement Buttons|移动按键
Shuffling levels|打乱顺序
Playing in order|按顺序游玩
rounds per level|回合每关卡
Random creatures|随机生物
Trophy Collector|奖杯收集者
Press ? to start|按下“?”开始
mod_menu_restart|应用的模组需要重新启动游戏。按下继续并重新启动游戏。
Applying Changes|正在应用更改
Vulture darkness|暗色秃鹫
Vanilla exploits|原版游戏漏洞
Aggressive Saint|斗战圣徒
Gameplay Assists|游玩辅助
Generic failure.|通用故障。
remix_dlc_launch|发现新DLC！你已安装的DLC可以在拓展菜单中找到并启用。
remix_dlc_locked|必须先购买额外的DLC，才能启用此内容。
...yes... leave.|……是的……走吧。
You... are back.|你……回来了。
Little tormentor|小折磨者
Complete the game as The Survivor or as The Monk|以求生者或僧侣身份完成游戏
ConfigMenuTab_ModPercentageButton_MouseEnableAll|点击以启用所有模组
MenuModList_ModButton_NonMouse_Configure_Console|按确认键以配置，按左方向键以切换到该内容的开关
Access was denied. Do you own the game on Steam?|访问被拒绝。你在Steam上拥有该游戏吗？
This one I've already read to you, <PlayerName>.|这颗珍珠我已经为你读过了，<PlayerName>。
Complete the game as The Hunter|以猎手身份完成游戏
Your travels have taken you far|此行天涯海角
You have left this world behind|弃世飞升而去
ConfigMenuTab_ApplyButton_Label|应用模组
ConfigMenuTab_RevertButton_Desc|返回模组列表
ConfigMenuTab_ResetButton_Label|重置配置
MenuModList_ModButton_Configure|配置<Mod>
MenuModList_ListButton_ScrollUp|按住鼠标按键以向上滚动模组列表
MenuModList_ListButton_ScrollDw|按住鼠标按键以向下滚动模组列表
MenuModList_ListButton_Collapse|折叠以隐藏模组列表中的缩略图
Connector_ChangeActiveTab_Alert|已将当前活动的标签切换为<TabName>
Connector_ChangeActiveMod_Alert|已将当前显示的模组切换为<ModName>
Enable the wall pounce mechanic|启用弹墙跳机制
It's you, <PlayerName>!  Hello!|是你，<PlayerName>！你好！
You... Strange thing. Now this?|你……奇怪的东西。现在又来这一出吗？
Oh, what is that, <PlayerName>?|哦，那是什么，<PlayerName>？
You would like me to read this?|你想让我读这个吗？
Find the canonical ending to The Gourmand's campaign|寻得饕餮篇的正典结局
Find a destination for The Hunter's starting payload|为猎手携带的物品寻得归宿
ConfigMenuTab_ModPercentageButton_NonMouseDisableAll|按确认键禁用所有模组
Pause the rain timer while dialog is being displayed|对话进行时，雨时计停止计时
Discourages Snails from idling inside pipe entrances|使蜗牛不会在通道口内徘徊
It is recommended to use this only as a last resort.|建议仅将其用作最后的手段。
I don't know what to say. Never come back, creature!|我无言以对。别再回来了，生灵！
Little creature, why don't you stay calm and listen?|小生灵，为什么你就不能安静点听我说呢？
Find the canonical ending to The Rivulet's campaign|寻得溪流篇的正典结局
Dropping food in the water might attract creatures.|将食物扔进水里可能会引来一些生物。
ConfigMenuTab_ModPercentageButton_NonMouseEnableAll|按确认键启用所有模组
Cannot update mod with no pre-existing workshop ID.|无法更新没有预先存在创意工坊ID的模组。
There is nothing here. Not even my memories remain.|这里什么都没有了。连我的记忆都无处可寻。
Something new you want me to look at, <PlayerName>?|你有想让我看看的新东西吗，<PlayerName>？
It's a bit dusty, but I will do my best. Hold on...|灰尘有点多，但我会尽力而为。稍等……
Now if you'll let me, I will try to say this again.|现在，如果你能让我说的话，我会试着再说一遍。
It's a rock. Thank you, I suppose, little creature.|这是一块石头。总之谢谢你了，小生灵。
Find the canonical ending to The Spearmaster's campaign|寻得矛大师篇的正典结局
Assign player <X> to the default PS4 Dualshock controls|将玩家<X>分配到默认的DUALSHOCK®4控制器
Strange... it seems to have been used not too long ago.|真奇怪……它似乎不久还用过。
Clear every challenge in Challenge Mode|完成挑战模式的所有挑战
ConfigMenuTab_ModPercentageButton_Label|已启用模组：<CountModEnabled>/<CountModTotal>
Allows Saint to be able to throw spears|使圣徒可以投矛
Workshop upload completed successfully!|创意工坊成功完成上传！
<CapPlayerName>! Stay still and listen.|<CapPlayerName>！安静点听我说。
objecttype-Rock|石头
Drainage System|排水系统
History lessons|以史为鉴之习
Change language|变更语言
Bind <X> button|绑定<X>键
Back to options|返回选项
round per level|回合每关卡
Medium wildlife|中量野生动物
SESSION RESULTS|战局结果
Finding Changes|正在寻找更改
Fast map reveal|快速地图显示
Extra tutorials|额外教程
Easier dropwigs|更友好的落网虫
Quality of Life|便利性
Unlock Slugpups|解锁蛞蝓猫崽
expedition-name|探险
Leave me alone!|别来打扰我！
Please stop it!|求你别闹了！
Little creature|小生灵
objecttype-PuffBall|孢子果
objecttype-WaterNut|泡水果
objecttype-Mushroom|蘑菇
creaturetype-Spider|小蜘蛛
creaturetype-BigEel|利维坦
creaturetype-EggBug|蛋虫
The Monk-linebreaks|僧侣
Speedrun Validation|速通验证
switch_controls_map|R键
Showing level names|显示关卡名称
ps4_region_map_help|按R1查看区域地图
Successful cycles :|成功的雨循环：
Helped Five Pebbles|帮助五块卵石
New arenas unlocked|已解锁新竞技场
mod_menu_apply_mods|正在应用模组更改，请稍候……
mod_menu_enable_all|启用所有模组
Creating index maps|正在创建索引图
OpDragger_MouseTuto|按住鼠标按键并向上或向下拖拽以调整数值
MenuModStat_MapTuto|按住<Button>检查控制
Loading screen tips|加载界面提示
Hunter Bonus Cycles|猎手额外雨循环
Visual breath meter|可视化憋气时间
Scavenger headshots|拾荒者爆头
NONE (User Defined)|无（用户定义）
rwremix-description|各种可配置的辅助功能和社区请求功能，包括新的游戏机制和奖励功能。使用配置界面即可打开或关闭各个功能。
Hello <PlayerName>.|你好，<PlayerName>。
still, very... bad.|还是，很……糟。
I will take a look.|我来看看。
There you go again.|你又要走了。
again... leaving...|又……要走……
objecttype-ScavengerBomb|手雷
creaturetype-GreenLizard|绿蜥蜴
creaturetype-WhiteLizard|白蜥蜴
creaturetype-BlackLizard|黑蜥蜴
creaturetype-GarbageWorm|垃圾虫
creaturetype-TempleGuard|守卫
creaturetype-VultureGrub|唤鹫虫
creaturetype-KingVulture|魔王秃鹫
Predator has become prey|猎手化为猎物
The Chieftain-linebreaks|酋长
Here is a strange energy|这里有一种奇怪的能量
switch_pause_help_pickup|按下以拾取物体
Change screen resolution|变更屏幕分辨率
Arena mode music volume:|竞技场模式音乐音量：
switch_controls_movement|左操作杆
switch_controls_hold_map|按住R键
Showing level thumbnails|显示关卡缩略图
ps4_fast_travel_map_help|按R1选择你想继续游戏的庇护所
ps4_save_progress_failed|保存进度数据时发生错误。
ps4_load_progress_failed|进度保存数据已损坏，将被删除。
mod_menu_load_order_down|合并模组更改时，请在其他模组之前应用此模组。这可能有助于解决某些模组冲突。
OpComboBox_MouseOpenTuto|点击打开列表
OpScrollBox_NonMouseTuto|按确认键并使用摇杆来查看更多
OpSimpleButton_MouseTuto|点击鼠标按键以触发
ModdingMenu_ControlThrow|返回/取消
MenuModStat_ModsDownpour|已预装模组：
Keep snails out of pipes|蜗牛限制在通道外
Additional lizard voices|额外蜥蜴音效
Splashes alert creatures|溅水声会使生物注意
Disable shelter failures|禁用庇护所故障
Unlock all sandbox items|解锁全部沙盒物品
moreslugcats-description|扩展包添加了五个新的可玩剧情流程，每个流程都有独自的时间线。此扩展包内含新区域、生物、物品、音乐、替代结局、新游戏模式等等。
...is this reaching you?|……你能听到吗？
Oh, <PlayerName>. Hello!|哦，<PlayerName>。你好！
Oh, <PlayerName>. Hello.|哦，<PlayerName>。你好。
Oh... I will look at it.|哦……我看看。
Oh... I will take a look|哦……我看一看。
...rain... coming... Go!|……雨……来了……快走！
...please... be still...|……请……安静……
Prevents falling off from poles when throwing objects|避免投掷物品时从杆子上掉落
Swim boosting will not consume additional breath time|游泳加速不会减少憋气时间
Removes visual effects that cause the screen to shake|移除导致屏幕抖动的视觉效果
Are you sure you want to disable ALL karma mechanics?|你确定要禁用所有业力机制吗？
Mod's thumbnail image must be less than 1 MB in size.|模组的缩略图必须小于1MB。
Your account is locked or has a community or VAC ban.|你的帐户已被锁定或受到社区或VAC封禁。
The workshop service is unavailable. Try again later.|创意工坊服务不可用。请稍后再试。
Yet another gift? You're quite curious, <PlayerName>!|又是一份礼物？你的好奇心真重，<PlayerName>！
STORY|剧情
ARENA|竞技场
REMIX|拓展
Cycle|雨循环
Music|音乐
INPUT|输入
Pause|暂停
Throw|投掷
Right|右
Cross|交叉
Space|空格
Shift|Shift
PLAY!|开始游戏！
Play!|开始游戏！
ERROR|错误
SCORE|得分
ROUND|回合
APPLY|应用
Other|其他
Remix|拓展
...me|……我
Oh...|哦……
STOP!|别闹了！
no...|不……
EXIT|退出
Run!|快跑！
Jump|跳跃
Move|移动
Left|左
Down|下
Back|返回
Food|食物
EDIT|编辑
PLAY|开始游戏
BACK|返回
NEXT|下一个
You!|你！
You.|你。
Restart game|重新开始游戏
THE SURVIVOR|求生者
The Exterior|外缘
Exterior|外缘
Five Pebbles|五块卵石
Subterranean|地底
The Survivor|求生者
The Wanderer|漫游者
A New Friend|新朋友
You are full|你吃饱了
Leap the gap|跃过间隙
View credits|制作团队与鸣谢清单
Pause Button|暂停按键
Throw Button|投掷按键
Select level|选择关卡
Low wildlife|少量野生动物
Level Items:|关卡物品：
Barren level|荒芜关卡
IT'S A DRAW!|平局！
Add creature|添加生物
Minor Assist|轻度辅助
Major Assist|重度辅助
CLOSE MANUAL|关闭手册
rwremix-name|雨世界拓展
...please...|……求你了……
A nimble omnivore, both predator and prey. Lost in a harsh and indifferent<LINE>land you must make your own way, with wit and caution as your greatest assets.|一只灵巧的杂食动物，既是掠食者，也是猎物。迷失于一片严酷冷漠的土地，<LINE>在此你必须探索自己的出路，而机智与谨慎是你最大的筹码。
Weak of body but strong of spirit. In tune with the mysteries of the world and<LINE>empathetic to its creatures, your journey will be a significantly more peaceful one.|身体弱小但精神强韧。和世界的谜团协调并<LINE>对其中的生灵富有同情心，你的旅途将会平和许多。
Strong and quick, with a fierce metabolism requiring a steady diet of meat. But the<LINE>stomach wont be your only concern, as the path of the hunter is one of extreme peril.|强壮而敏捷，新陈代谢旺盛，需要稳定的肉类供给。但<LINE>果腹不会是你面前唯一的难题，因为猎手之路危机四伏。
Five Pebbles (Unfortunate Development)|五块卵石（不幸的发展）
Six Grains of Gravel, Mountains Abound|六颗砂砾，群峰林立
Jump and grab them. They're delicious!|跳起来抓住它们。它们很美味！
Takes input from any connected gamepad|从任何连接的设备<LINE>获取输入
switch_controls_singlejoyconl_movement|左操作杆
switch_controls_singlejoyconr_movement|右操作杆
Unlock all the Trophies in Rain World!|解锁雨世界的所有奖杯！
MenuModList_ModButton_Disable_NonMouse|按确认键禁用该模组，长按确认键并使用摇杆切换加载顺序
MenuModList_ModButton_NonMouse_Display|按确认键显示<Mod>
ConfigTabController_TabScrollButton_Up|按住鼠标按键以向上滚动标签列表
ConfigTabController_TabScrollButton_Dw|按住鼠标按键以向下滚动标签列表
The following cheats contain spoilers.|以下作弊信息包含剧透内容。
Mod uploaded with Unlisted visibility.|上传的模组具有不公开可见性。
Ah... <PlayerName>, you're here again!|啊……<PlayerName>，你又来了！
Ah... <PlayerName>, you're here again.|啊……<PlayerName>，你又来了。
I must ask you... Don't do that again.|我必须请求你……不要再那样做了。
Rain... You better go. I will be fine.|是雨……你该走了。我没事的。
<CapPlayerName>... Please settle down.|<CapPlayerName>……请安静一点。
Yes, there you go. This is ridiculous.|对，快走吧。真是莫名其妙。
Five Pebbles (Recursive Transform Array)|五块卵石（递归变压阵列）
You need to eat meat to sustain yourself|你需要吃肉来维持自己的生命
Default singleplayer<LINE>keyboard setup|默认单人<LINE>键盘设置
OpKeyBinder_ErrorConflictOtherModDefault|与<ModID>的默认按键发生冲突
MenuModList_ModButton_NonMouse_Configure|按确认键配置<Mod>
You are not currently logged into Steam.|当前未登录Steam。
Yes, help yourself. They are not edible.|是的，随便拿吧。这些不可食用。
This pearl has been written to just now!|这颗珍珠刚刚还编写过！
Droplets upon Five Large Droplets|五大水滴，先之而落
Game Over - Press BACK to restart|游戏结束 - 按“返回键”重新开始
3 - CHOOSE PRESET OR BIND BUTTONS|3 - 选择预设或绑定按键
OpKeyBinder_ErrorConflictOtherMod|与<AnotherModID>的按键发生冲突
OpKeyBinder_MouseJoystickBindTuto|按下按键后绑定（ESC取消绑定，CTRL+数字键设置控制器数字）
ConfigContainer_AlertCopyCosmetic|已将<Text>复制到剪贴板
ConfigMenuTab_BackHoldButton_Desc|返回主菜单（不会应用模组！）
Passage progress without Survivor|解除求生者通行证限制
I will not speak to you any more.|我不会再和你说话了。
You encountered the echo of Droplets upon Five Large Droplets|你遇到了“五大水滴，先之而落”的残余回响
Press while holding down direction (crouching) to drop object|按住“下方向键”（蹲伏）的同时按下以放下物体
You must activate this mod before attempting to configure it.|在尝试配置它之前，你必须激活此模组。
I won't tolerate this. Leave immediately and don't come back.|我不会再容忍了。 立即离开，不要回来。
As you can see, I have nothing for you. Not even my memories.|如你所见，我什么也给不了你。甚至我的记忆也不行。
Here we go again, little archeologist. Let's read your pearl.|又来了，小考古学家。我们读一下你的珍珠吧。
You encountered the echo of Four Needles under Plentiful Leaves|你遇到了“四针之下，枝繁叶茂”的残余回响
Show a visual indicator on the UI of your remaining breath time|在交互界面上显示指示剩余憋气时间的视觉提示
Lizards can pull embedded spears out of walls with their tongue|蜥蜴可以使用舌头将插在墙上的矛拔出
Failed to acquire User Generated Content lock. Try again later.|无法获取用户生成内容锁。请稍后再试。
You encountered the echo of Nineteen Spades, Endless Reflections|你遇到了“十九铁铲，无尽倒影”的残余回响
Warning, too many creatures may result in poor game performance.|请注意，太多生物可能会带来糟糕的游戏性能。
Reduces the amount of time taken to get started with a new cycle|减少开始新雨循环的耗时
One of your workshop mods already has the same name as this one.|你的其中一个创意工坊模组与该模组同名。
I appreciate what you have done but it is time for you to leave.|我很感激你的所为，可你该走了。
Let us see... to be honest, I'm as curious to see it as you are.|让我看看……说实话，我和你一样好奇。
You encountered the echo of Six Grains of Gravel, Mountains Abound|你遇到了“六颗砂砾，群峰林立”的残余回响
You must apply new mods setup before attempting to configure them.|在尝试配置模组之前，你必须对模组列表应用尚未确认的更改。
Stops Hunter from automatically grabbing batflies with a free hand|猎手不会在空手时自动抓取蝠蝇逃跑
Increases the radius of Monk's hologram light in pitch-black areas|增加黑暗环境中僧侣的全息照明半径
Prevents the chance of waking up early before the rain has stopped|不会在雨停前早早醒来
(Normally requires finding Red unlock tokens in the campaign maps)|（通常需要在剧情地图中找到红色代币）
<CapPlayerName>, if you do that, I will not speak to you any more.|<CapPlayerName>，你若是敢那么做，我就不会再和你说话了。
The highest enlightenment, achieved by the hardest path. A feat even the guardians must respect.|历经艰难所得，此业金石为开
Standard Remix settings. Many mechanical tweaks that may mix up the way the game is experienced.|标准拓展设置。更多细节调整可能会对游戏体验产生误解。
When crouching, hold the JUMP button without giving any other input|蹲伏时，在不进行其他操作的情况下按住“跳跃”键
Allow players to exit when rain is close or only one player is left|允许玩家在快要下雨或只剩一名玩家时离开
Reduces the overall speed of the game to assist with reaction times|降低游戏的整体速度以帮助延长反应时间
(Normally requires finding Blue unlock tokens in the campaign maps)|（通常需要在剧情地图中找到蓝色代币）
??????????????????????????????????????????????????????????????????™|
Something new you want me to look at,<LINE>I suppose, <PlayerName>?|你有想让我看看的新东西，<LINE>是不是，<PlayerName>？
Go explore! There is food and shelter to be found, but beware of predators.|去探索吧！你可以找到食物和庇护所，但要小心掠食者。
Prevents underwater shortcut symbols from being obscured by the water layer|水下通道标志不会被水遮挡
Changes the amount of bonus cycles Hunter can receive during their campaign|改变猎手可以在剧情中获得的额外雨循环数
The current session playtime will always be visible as a UI element in-game|在剧情模式中，游玩对应角色的总用时将始终显示在界面上
This option significantly decreases the difficulty of Artificer's campaign.|此选项会显着降低工匠剧情的难度。
Your account is in read-only mode due to a recent password or email change.|由于最近更改了密码或电子邮件，你的帐户处于只读模式。
This creature is dehydrated. You can carry it back to water.|这个生物脱水了。你可以把它带回水里。
Prevent injured creatures from fleeing to dens in arena mode|竞技场模式中的生物在受伤后不会逃回巢穴
Increases the amount of underwater breath time that Monk has|增加僧侣水下憋气时长
(Normally requires completing all Challenge Mode challenges)|（通常需要完成全部挑战模式关卡）
Best of luck to you, little creature. I must resume my work.|祝你好运，小生灵。我得继续我的工作了。
Never do that again. Or just kill me quickly. Whichever way.|要么别再那么做了，要么就爽快点杀了我，随便你吧。
I think we have already talked about this one, <PlayerName>.|这一颗我们应该已经说过了，<PlayerName>。
Larger prey needs to be incapacitated first|面对较大的猎物，你需要先使其丧失行动能力
Little creature. This is your last warning.|小生物。这是你的最终警告。
Please don't... take... more from me... Go.|请别……再……拿走我的东西了……走吧。
And yet another one! I will read it to you.|又来一颗！我会读给你听。
I've told you about this one, <PlayerName>.|我已经跟你说过这里面的内容了，<PlayerName>。
And now you expect me to continue speaking?|现在你又指望我继续说话吗？
It's a delicious plant. You should have it!|这是一种美味的植物。快尝尝！
It is possible to hibernate with less than sufficient food|你可以在食物不足的情况下进入雨眠
It is not recommended to use these on a first playthrough.|不建议在首次游玩时使用这些信息。
This mod already exists on the workshop by another author.|该模组已由其他作者上传至创意工坊。
Release that, and leave. I will not speak to you any more.|放开它，离开这里吧。我不会再和你说话了。
Thank you... That is a little better. Thank you, creature.|谢谢你……现在好一点了。谢谢你，生灵。
In a shelter, hold DOWN for several seconds to force hibernate|在庇护所中，按住“下方向键”几秒钟可以强制雨眠
Multiplies the total duration of the rain timer by this amount|将降雨计时器的总持续时间乘以该数值
The rain timer makes a tick-tock noise while the UI is visible|雨时计显示时会滴答作响
Vultures that appear in dark rooms are cloaked by the darkness|在黑暗房间中出现的秃鹫会被黑暗遮蔽
Press CONTINUE after accepting the End User License Agreement.|接受《最终用户许可协议》后按“继续”。
Press CONTINUE to view and/or edit your uploaded workshop mod.|按“继续”查看和/或编辑你上传的创意工坊模组。
WARNING!<LINE>This will reset all progress in the selected save slot,<LINE>including map exploration. Unlocked arenas and<LINE>sandbox items are retained.|注意！<LINE>该操作将会重置所选存档位的所有进度，<LINE>包括地图探索进度。已解锁的竞技场和<LINE>沙盒物品将保留。
WARNING!<LINE>This will reset all of your progress except map exploration.|注意！<LINE>该操作会重置你的所有进度，地图探索进度除外。
WARNING! Too many creatures may result in bad game performance or crashes.|请注意！太多生物可能会带来糟糕的游戏性能或导致崩溃。
Please log in to STOVE Client with the account that has purchased the game|请使用已购买游戏的帐户登录STOVE客户端
Gives the player the ability to dislodge spears that are embedded in walls|玩家可以拔出插入墙面的长矛
(One time use) Fast travel to any discovered shelter, recovering all karma|（一次性使用）快速前往任何已发现的庇护所，恢复所有业力
WARNING! This will reset all of your progress except map exploration.|注意！该操作会重置你的所有进度，地图探索进度除外。
Red Lizards have a tongue and can snap spears in half with their bite|烈焰蜥蜴可用舌头，并能咬断长矛
(Normally requires finding Orange unlock tokens in the campaign maps)|（通常需要在剧情地图中找到橙色代币）
The intended gameplay loop is to have to actively hunt fresh corpses.|预设的游玩行为是积极寻找新鲜的尸体
Some of the metadata for this mod was invalid and cannot be accepted.|此模组的某些元数据无效，无法接受。
Maybe this is asking too much... But, would you bring me another one?|也许我的要求太多了……不过，你能帮我再带一个吗？
The rain is coming. If you stay, you will drown. Now, leave me alone.|要下雨了。如果留下来的话，你会淹死的。现在，别来烦我了。
Show information on loading screens that helps verify settings used and the legitimacy of runs.|在加载界面上显示有助于验证所用设置、检查流程无作弊的信息。
Give a grace period on cycle start and region entry before scavenger kill squads can attack you|在雨循环开始和进入区域时设置一段保护期，此期间拾荒者的猎杀小队不会攻击你
Advantageous glitches and speedrunner exploits are made available to use again with this option|应用此选项以启动利于速通的游戏漏洞
Similar to the original Rain World experience, but with a few quality of life settings enabled.|与原版雨世界体验相似，但启用了一些便利性设置。
Map|地图
Esc|ESC
Yes|是
YES|是
HUD|抬头显示器
run|快跑！
Up|上
R1|R1
RB|RB
ok|确认
No|不
NO|不
Assign player <X> to the default keyboard controls|为玩家<X>分配至默认键盘控制
Increase the speed that the minimap reveals itself|加快小地图显示的速度
(Normally requires completing Gourmand's campaign)|（通常需要完成饕餮的剧情）
This menu contains cheats to unlock content early.|此菜单包含提前解锁游戏内容的作弊信息。
What are you? If I had my memories I would know...|你是什么？ 如果我还有记忆的话，我应该会知道的……
If you behave like this, why should I talk to you?|如果你一直这样这样，我何必和你说话呢？
Paused - Warning! Quitting after 30 seconds into a cycle counts as a loss|已暂停 - 注意！进入一个雨循环30秒后退出计为失败
By comparison, the RELAXED preset may weaken the overall game experience.|相比之下，休闲预设可能会降低整体游戏体验。
(Normally requires completing campaigns and clearing previous challenges)|（通常需要完成剧情流程并清除之前的挑战）
Shelter failures give periodic reprieves by providing longer cycle times.|庇护所故障通过给予更长的雨循环时间提供定期的安全期
Paused - Warning! Quitting without saving in a shelter will permanently end your game|已暂停 - 注意！未在庇护所中保存的情况下退出会永久结束你的游戏
For all campaigns, gates will remain open permanently after passing through them once|在所有剧情模式中，业力门都将在通过一次后保持永久开启
Spearing a scavenger directly in their head will do significantly more damage to them|
The maximum number of subsequent explosion actions Artificer can perform before dying|工匠死前可用的爆炸行动次数上限
Limit exceeded. You may need to reduce the filesize or remove prior workshop content.|超出限制。你可能需要减小文件大小或删除之前的创意工坊内容。
A little animal, on the floor of my chamber. I think I know what you are looking for.|一只小动物，在我房间的地板上。我想我知道你在找什么。
Really exit? Note that quitting after 30 seconds into a cycle counts as a loss.|确定要退出吗？请注意进入一个雨循环30秒后退出计为失败。
You get these at Five Pebbles'?<LINE>Thank you so much. I'm sure he won't mind.|你是是从五块卵石那里拿来的吗？<LINE>非常感谢。我相信他不会介意的。
Create custom scenarios using levels, items and creatures<LINE>that have been unlocked in the single player campaigns.<LINE>Defeating creatures or other actions can be set to award points,<LINE>but Sandbox is mostly about customization and fun!|使用已于剧情模式中解锁的关卡、物品和生物创建自定义场景。<LINE>可为击败生物和其他行为设定得分，<LINE>但沙盒模式更适于自定义和娱乐！
For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth<LINE>where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals.|不过对你来说，还有另外一个方法。一条老路。向西穿过农场阵列，然后在大地崩裂之处深入地下，<LINE>尽可能地深，在那里，那些老东西们建造了他们的庙宇，并跳着他们愚蠢的仪式舞蹈。
